defcount,State,ERcount,Schcount,Curcount,DTI,income,shortcount,longcount,Period,ER_rate,Def_rate,termRatio
10,NJ,13,2,553,12.411830065359476,77161.6425490196,111,42,2010-04-01,0.02249134948096886,0.01730103806228374,0.3783783783783784
1,CT,2,1,222,12.026792452830188,75234.0,46,7,2010-04-01,0.008849557522123894,0.004424778761061947,0.15217391304347827
13,NY,25,2,1080,12.124714828897346,71023.48182509505,230,33,2010-04-01,0.022321428571428572,0.011607142857142858,0.14347826086956522
5,MA,15,3,427,12.244552845528458,66580.79463414634,96,27,2010-04-01,0.03333333333333333,0.011111111111111112,0.28125
19,AZ,53,13,1335,17.915856079404485,61352.85374689826,347,56,2012-07-01,0.03732394366197183,0.013380281690140845,0.16138328530259366
5,SC,31,11,658,18.917365269461083,64995.64808383234,128,39,2012-07-01,0.04397163120567376,0.0070921985815602835,0.3046875
7,LA,17,7,731,18.966749999999994,64796.217000000004,155,45,2012-07-01,0.02230971128608924,0.009186351706036745,0.2903225806451613
14,MN,31,5,933,18.184459930313594,60732.28675958187,234,53,2012-07-01,0.03153611393692777,0.014242115971515769,0.2264957264957265
37,NJ,95,38,2535,15.786057233704287,74773.93736089031,505,124,2012-07-01,0.03512014787430684,0.01367837338262477,0.24554455445544554
2,DC,7,2,259,13.98693877551021,83190.67346938775,44,5,2012-07-01,0.025925925925925925,0.007407407407407408,0.11363636363636363
10,OR,16,1,716,17.07981651376146,56965.70986238532,189,29,2012-07-01,0.021534320323014805,0.013458950201884253,0.15343915343915343
18,VA,64,14,1907,17.85151187904969,70951.0061339093,363,100,2012-07-01,0.03195207189216176,0.008986520219670495,0.27548209366391185
6,RI,7,3,278,16.407674418604643,61549.82558139535,76,10,2012-07-01,0.023809523809523808,0.02040816326530612,0.13157894736842105
4,KY,20,7,486,18.927462686567168,63185.601044776115,109,25,2012-07-01,0.03868471953578337,0.007736943907156673,0.22935779816513763
18,MI,41,11,1219,17.868347578347564,64408.48700854701,288,63,2012-07-01,0.03180760279286268,0.013964313421256789,0.21875
11,NV,21,6,774,18.100497925311185,60153.24680497925,203,38,2012-07-01,0.02586206896551724,0.013546798029556651,0.18719211822660098
10,WI,18,4,674,18.109944751381214,64016.256077348065,144,37,2012-07-01,0.025495750708215296,0.014164305949008499,0.2569444444444444
143,CA,332,80,10405,16.54782104080866,68831.49930737553,2299,372,2012-07-01,0.030291970802919708,0.013047445255474452,0.16180948238364506
15,CT,39,16,1058,15.83621848739496,73912.97966386557,188,50,2012-07-01,0.034574468085106384,0.013297872340425532,0.26595744680851063
1,MT,6,1,158,20.09208333333334,55207.333333333336,41,7,2012-07-01,0.03614457831325301,0.006024096385542169,0.17073170731707318
12,MD,48,16,1397,17.14054878048782,71634.56591463415,248,80,2012-07-01,0.032586558044806514,0.008146639511201629,0.3225806451612903
15,MO,38,6,959,18.36568702290076,61873.50175572519,198,64,2012-07-01,0.03732809430255403,0.014734774066797643,0.32323232323232326
15,IL,85,22,2383,17.053825816485237,71693.58034214619,527,116,2012-07-01,0.033932135728542916,0.005988023952095809,0.22011385199240988
13,WA,31,14,1289,17.56528925619834,68792.73192837466,291,72,2012-07-01,0.02301410541945063,0.009651076466221232,0.24742268041237114
10,AL,15,7,718,19.285588235294117,63091.70656862744,156,48,2012-07-01,0.02,0.013333333333333334,0.3076923076923077
26,OH,56,23,1784,18.987596741344184,60147.58077393076,396,95,2012-07-01,0.029645314981471677,0.013763896241397565,0.2398989898989899
4,NM,12,5,287,19.373815789473678,65236.19026315791,62,14,2012-07-01,0.03896103896103896,0.012987012987012988,0.22580645161290322
25,PA,87,25,2154,17.912406716417934,62559.278097014925,424,112,2012-07-01,0.0379746835443038,0.010912265386294195,0.2641509433962264
72,NY,203,49,5872,15.66034026465027,70442.62448645243,1340,247,2012-07-01,0.03276307295029051,0.011620400258231117,0.1843283582089552
43,TX,148,40,4445,18.245201698513775,71336.58336871905,1176,237,2012-07-01,0.03165098374679213,0.009195893926432849,0.20153061224489796
3,WV,4,2,253,17.322641509433964,56797.981132075474,46,7,2012-07-01,0.015267175572519083,0.011450381679389313,0.15217391304347827
30,GA,62,15,1899,18.0989397089397,68713.07492723492,386,95,2012-07-01,0.03090727816550349,0.014955134596211365,0.24611398963730569
21,MA,46,27,1730,16.34526854219948,70029.82570332481,332,59,2012-07-01,0.025219298245614034,0.011513157894736841,0.17771084337349397
4,KS,10,6,482,19.26532051282051,61296.114615384606,121,35,2012-07-01,0.0199203187250996,0.00796812749003984,0.2892561983471074
6,CO,37,8,1128,17.603427672955988,66689.39078616352,263,55,2012-07-01,0.031382527565733676,0.005089058524173028,0.20912547528517111
65,FL,119,34,4480,17.85001606425704,62500.64634538154,1048,197,2012-07-01,0.025329927628778205,0.013835674755214985,0.18797709923664122
8,OK,18,3,463,19.484755244755238,60200.38041958042,123,20,2012-07-01,0.036585365853658534,0.016260162601626018,0.16260162601626016
8,UT,19,3,390,18.157053571428573,63242.39535714286,98,14,2012-07-01,0.04523809523809524,0.01904761904761905,0.14285714285714285
3,HI,10,2,309,19.18242105263157,66537.31957894737,81,14,2012-07-01,0.030864197530864196,0.009259259259259259,0.1728395061728395
27,AZ,50,11,1628,17.191076115485576,69999.58776902888,312,69,2012-10-01,0.029137529137529136,0.015734265734265736,0.22115384615384615
13,SC,19,10,882,19.197593984962385,65866.01105263158,210,56,2012-10-01,0.020562770562770564,0.01406926406926407,0.26666666666666666
8,LA,24,7,906,18.99359813084112,69532.4555140187,155,59,2012-10-01,0.025396825396825397,0.008465608465608466,0.38064516129032255
10,MN,39,8,1199,18.000123839009277,69646.87126934985,252,71,2012-10-01,0.03105095541401274,0.007961783439490446,0.28174603174603174
51,NJ,70,33,3112,16.455362517099875,80783.49621067032,590,141,2012-10-01,0.021432945499081445,0.015615431720759338,0.23898305084745763
1,DC,13,8,288,13.147450980392154,82073.07137254902,42,9,2012-10-01,0.041935483870967745,0.0032258064516129032,0.21428571428571427
12,OR,20,7,906,17.16048034934498,64349.96410480349,186,43,2012-10-01,0.021164021164021163,0.012698412698412698,0.23118279569892472
31,VA,72,30,2382,17.863141447368452,77442.1655756579,473,135,2012-10-01,0.028628230616302187,0.012326043737574552,0.2854122621564482
6,RI,8,4,344,16.33511904761906,67202.54809523809,71,13,2012-10-01,0.022099447513812154,0.016574585635359115,0.18309859154929578
6,KY,10,4,648,19.305549450549456,66974.59703296704,140,42,2012-10-01,0.014970059880239521,0.008982035928143712,0.3
1,WY,6,5,172,21.241190476190475,70274.23809523809,36,6,2012-10-01,0.03260869565217391,0.005434782608695652,0.16666666666666666
4,NH,9,3,343,19.140989010989014,73598.03296703297,73,18,2012-10-01,0.025069637883008356,0.011142061281337047,0.2465753424657534
17,MI,40,11,1576,18.50917647058823,64878.87835294118,341,84,2012-10-01,0.024330900243309004,0.010340632603406326,0.24633431085043989
13,NV,24,5,1043,17.581125401929256,65556.13903536978,262,49,2012-10-01,0.022119815668202765,0.011981566820276499,0.18702290076335878
10,WI,16,7,863,18.658018018018005,62407.98927927928,175,47,2012-10-01,0.017857142857142856,0.011160714285714286,0.26857142857142857
185,CA,365,112,12994,16.16649338665026,75742.5767886804,2734,517,2012-10-01,0.026728178090216756,0.013547158758055067,0.18910021945866862
22,CT,40,21,1264,17.436678200692047,80804.38892733563,224,65,2012-10-01,0.02969561989606533,0.016332590942835932,0.29017857142857145
3,MT,4,1,207,21.133157894736843,57882.514912280705,47,10,2012-10-01,0.018604651162790697,0.013953488372093023,0.2127659574468085
2,VT,6,1,161,19.671063829787236,68639.51063829787,37,10,2012-10-01,0.03529411764705882,0.011764705882352941,0.2702702702702703
33,MD,47,24,1735,17.55285067873304,80080.74061085974,355,87,2012-10-01,0.0255573681348559,0.01794453507340946,0.24507042253521127
2,DE,11,1,178,18.4905,68570.9,31,9,2012-10-01,0.057291666666666664,0.010416666666666666,0.2903225806451613
14,MO,40,10,1218,18.96049535603715,64915.04089783282,251,72,2012-10-01,0.031201248049921998,0.0109204368174727,0.2868525896414343
30,IL,76,27,2950,17.655285714285732,73792.66177142857,571,129,2012-10-01,0.02465131365553033,0.009730781706130393,0.22591943957968477
20,WA,40,14,1669,17.262356828193813,68867.32845814979,386,68,2012-10-01,0.022948938611589215,0.011474469305794608,0.17616580310880828
15,AL,23,6,948,19.584854014598523,67739.68795620438,204,70,2012-10-01,0.023185483870967742,0.015120967741935484,0.3431372549019608
15,OH,54,19,2260,19.098546099290754,67351.80985815602,439,125,2012-10-01,0.022998296422487224,0.006388415672913117,0.2847380410022779
5,NM,4,5,383,19.517545454545466,66324.76363636364,85,25,2012-10-01,0.010075566750629723,0.012594458438287154,0.29411764705882354
21,PA,81,24,2602,19.014006968641112,69614.72918118467,442,132,2012-10-01,0.02969208211143695,0.0076979472140762464,0.2986425339366516
84,NY,214,82,7107,16.09658204334366,78314.98100309598,1285,330,2012-10-01,0.02858287698677708,0.011219447041538667,0.25680933852140075
63,TX,153,43,5713,18.71406679764246,75619.78026850034,1275,252,2012-10-01,0.025619557937039517,0.010549229738780978,0.1976470588235294
33,GA,58,23,2372,18.500613287904596,82606.21158432709,476,111,2012-10-01,0.02333065164923572,0.01327433628318584,0.23319327731092437
29,MA,65,20,2100,16.111797520661145,80028.55396694214,389,95,2012-10-01,0.02935862691960253,0.013098464317976514,0.2442159383033419
8,KS,11,1,646,18.652880434782613,65992.26173913044,141,43,2012-10-01,0.016516516516516516,0.012012012012012012,0.3049645390070922
11,CO,42,13,1411,17.996418338108885,67707.5546418338,286,63,2012-10-01,0.02843601895734597,0.007447528774542992,0.2202797202797203
70,FL,145,54,5515,17.995728527607394,66224.72815184049,1097,207,2012-10-01,0.025069156293222684,0.012102351313969572,0.18869644484958978
3,AR,14,3,565,18.74488372093023,61527.55240310077,103,26,2012-10-01,0.023931623931623933,0.005128205128205128,0.2524271844660194
4,OK,21,4,596,19.2837037037037,67428.02395061728,133,29,2012-10-01,0.0336,0.0064,0.21804511278195488
6,UT,18,7,493,17.97955223880597,65439.987761194025,115,19,2012-10-01,0.03435114503816794,0.011450381679389313,0.16521739130434782
7,HI,20,2,408,19.307265625000007,72645.35125,105,23,2012-10-01,0.04576659038901602,0.016018306636155607,0.21904761904761905
26,AZ,86,9,2036,17.467258979206072,71537.9993194707,436,93,2013-01-01,0.039870190078813164,0.01205377839592026,0.21330275229357798
16,SC,37,8,1063,19.38,71608.98566115703,186,56,2013-01-01,0.03291814946619217,0.014234875444839857,0.3010752688172043
8,LA,46,9,1105,18.736030534351155,70066.1941984733,200,62,2013-01-01,0.039383561643835614,0.00684931506849315,0.31
17,MN,73,10,1503,18.05106435643566,70543.73589108912,316,88,2013-01-01,0.045539613225202745,0.010605115408608859,0.27848101265822783
42,NJ,125,41,3683,16.28256739409499,85712.65227214377,599,180,2013-01-01,0.0321254176304292,0.01079414032382421,0.3005008347245409
2,DC,21,7,338,14.9545,87909.02975,58,22,2013-01-01,0.057065217391304345,0.005434782608695652,0.3793103448275862
13,OR,44,9,1182,16.727836257309946,65855.77280701755,287,55,2013-01-01,0.035256410256410256,0.010416666666666666,0.1916376306620209
33,VA,103,36,2925,18.10613986013986,81153.97846153846,532,183,2013-01-01,0.03325799160477882,0.010655473038424281,0.34398496240601506
6,RI,21,2,390,17.1696,72524.32906666666,58,17,2013-01-01,0.050119331742243436,0.014319809069212411,0.29310344827586204
9,KY,34,3,780,20.32449438202246,65328.0308988764,129,49,2013-01-01,0.04116222760290557,0.010895883777239709,0.3798449612403101
3,WY,11,4,207,19.065660377358494,70378.31924528301,39,14,2013-01-01,0.04888888888888889,0.013333333333333334,0.358974358974359
4,NH,13,4,415,18.633763440860218,74082.87096774194,74,19,2013-01-01,0.02981651376146789,0.009174311926605505,0.25675675675675674
23,MI,62,13,2030,18.62896739130434,76048.88480072464,436,116,2013-01-01,0.02913533834586466,0.010808270676691729,0.26605504587155965
18,NV,41,5,1378,18.761127819548868,66521.98927318296,334,65,2013-01-01,0.028432732316227463,0.012482662968099861,0.19461077844311378
15,WI,31,12,1036,18.359913419913422,63646.60575757576,183,48,2013-01-01,0.0283363802559415,0.013711151736745886,0.26229508196721313
187,CA,616,134,16025,16.09748487903222,77634.20767389116,3257,711,2013-01-01,0.03631647211413749,0.011024643320363165,0.21829904820386858
12,CT,56,19,1469,16.515856164383575,83062.96585616437,229,63,2013-01-01,0.03598971722365039,0.007712082262210797,0.27510917030567683
4,MT,6,1,252,17.396250000000002,66943.87410714287,47,9,2013-01-01,0.022813688212927757,0.015209125475285171,0.19148936170212766
3,VT,5,2,178,18.235185185185188,63587.25925925926,26,1,2013-01-01,0.026595744680851064,0.015957446808510637,0.038461538461538464
14,MD,91,19,2153,17.553634686346854,92614.32896678966,414,128,2013-01-01,0.039964866051822576,0.006148440931049627,0.30917874396135264
1,DE,4,3,223,19.656603773584905,80760.24528301887,41,12,2013-01-01,0.017316017316017316,0.004329004329004329,0.2926829268292683
21,MO,54,10,1498,18.785424657534254,72599.27268493151,285,80,2013-01-01,0.034112444725205304,0.013265950726468731,0.2807017543859649
34,IL,113,45,3648,17.500719101123583,74735.16004494383,689,201,2013-01-01,0.029427083333333333,0.008854166666666666,0.29172714078374457
37,WA,77,14,2136,18.153142857142864,73393.48475630254,462,133,2013-01-01,0.03401060070671378,0.016342756183745585,0.2878787878787879
11,AL,50,12,1155,20.11539285714285,68733.88171428572,216,64,2013-01-01,0.04071661237785016,0.008957654723127036,0.2962962962962963
38,OH,105,25,2768,18.931745562130168,69900.62119822485,539,137,2013-01-01,0.035762942779291554,0.012942779291553134,0.2541743970315399
8,NM,16,3,507,18.006291390728485,71338.3165562914,120,31,2013-01-01,0.0299625468164794,0.0149812734082397,0.25833333333333336
28,PA,112,46,3171,18.551708609271515,75797.90924503311,556,199,2013-01-01,0.0333631218349717,0.008340780458742925,0.3579136690647482
97,NY,306,97,8442,16.10547138964578,78974.49298092641,1489,346,2013-01-01,0.034220532319391636,0.010847685081637217,0.23237071860308933
60,TX,236,65,7138,18.889070548712223,79918.22435050392,1407,379,2013-01-01,0.031470862781704224,0.008001066808907855,0.26936744847192606
4,WV,19,3,400,20.170312499999998,68190.32510416667,72,24,2013-01-01,0.04460093896713615,0.009389671361502348,0.3333333333333333
30,GA,106,31,2864,17.932625189681332,77916.00031866465,505,154,2013-01-01,0.034971956450016495,0.009897723523589575,0.30495049504950494
26,MA,88,34,2464,16.98970703125,84561.27068359376,400,112,2013-01-01,0.033690658499234305,0.009954058192955589,0.28
23,CO,71,15,1840,18.304163568773237,76675.9726022305,429,109,2013-01-01,0.03642893791688045,0.011800923550538737,0.2540792540792541
68,FL,196,56,6651,18.026174450549448,69534.83280219781,1209,247,2013-01-01,0.028116482570649835,0.009754698034715249,0.20430107526881722
2,AK,17,1,296,17.98279569892473,75541.10752688172,77,16,2013-01-01,0.05379746835443038,0.006329113924050633,0.2077922077922078
5,AR,26,3,686,19.75741935483871,70213.19832258065,116,39,2013-01-01,0.03611111111111111,0.006944444444444444,0.33620689655172414
14,OK,30,6,751,19.398780487804874,67941.99185365853,162,43,2013-01-01,0.03745318352059925,0.017478152309612985,0.2654320987654321
5,HI,19,5,535,18.82660256410257,72296.57846153845,129,27,2013-01-01,0.03368794326241135,0.008865248226950355,0.20930232558139536
20,AZ,97,21,2610,16.598370786516835,67760.82023876405,554,158,2013-04-01,0.03529839883551674,0.00727802037845706,0.2851985559566787
18,SC,44,10,1326,18.9784776119403,71355.68973134329,240,95,2013-04-01,0.031473533619456366,0.012875536480686695,0.3958333333333333
8,LA,25,11,1414,18.097110481586405,68221.05342776203,258,95,2013-04-01,0.017146776406035666,0.0054869684499314125,0.3682170542635659
21,MN,84,8,1964,17.166010452961665,67494.04376306619,437,137,2013-04-01,0.04044294655753491,0.010110736639383727,0.3135011441647597
65,NJ,149,47,4573,15.493518679409206,81160.95153779323,868,283,2013-04-01,0.030823334712453455,0.013446421183285064,0.326036866359447
5,DC,23,3,401,15.604255319148931,83649.41159574468,71,23,2013-04-01,0.05324074074074074,0.011574074074074073,0.323943661971831
18,OR,48,10,1529,16.551820330969253,64858.08085106383,326,97,2013-04-01,0.029906542056074768,0.011214953271028037,0.29754601226993865
37,VA,130,46,3614,17.216929046563195,78905.93553215078,637,265,2013-04-01,0.0339691664489156,0.009668147373922133,0.41601255886970173
7,RI,18,2,503,16.643785714285713,70370.88664285713,102,38,2013-04-01,0.033962264150943396,0.013207547169811321,0.37254901960784315
6,KY,34,5,1026,17.75199312714777,65916.60109965636,220,71,2013-04-01,0.031746031746031744,0.0056022408963585435,0.32272727272727275
1,WY,8,3,264,20.491304347826087,68721.37681159421,45,24,2013-04-01,0.028985507246376812,0.0036231884057971015,0.5333333333333333
5,NH,24,6,540,17.2965,70939.561875,119,41,2013-04-01,0.04173913043478261,0.008695652173913044,0.3445378151260504
34,MI,80,15,2672,18.03796368352788,66452.30556420232,574,197,2013-04-01,0.028561228132809712,0.012138521956444126,0.343205574912892
21,NV,43,4,1764,17.486497797356833,68700.4114537445,352,102,2013-04-01,0.023471615720524017,0.01146288209606987,0.2897727272727273
20,WI,55,14,1357,17.676512195121944,63034.644804878044,295,115,2013-04-01,0.03803596127247579,0.013831258644536652,0.3898305084745763
231,CA,692,190,19665,15.957748790237707,75375.42978119083,3782,971,2013-04-01,0.03330445663682741,0.011117528154779094,0.25674246430460074
28,CT,63,16,1845,16.051842650103513,81453.67643892339,384,99,2013-04-01,0.03227459016393443,0.014344262295081968,0.2578125
4,MT,11,5,332,19.370700000000006,59885.3508,75,25,2013-04-01,0.03125,0.011363636363636364,0.3333333333333333
3,VT,9,2,205,18.670731707317074,60944.68292682927,32,9,2013-04-01,0.0410958904109589,0.0136986301369863,0.28125
35,MD,77,21,2703,16.914553440702775,81507.62168374819,477,206,2013-04-01,0.027150916784203102,0.01234132581100141,0.43186582809224316
4,DE,14,4,282,16.842839506172837,70586.82716049382,62,19,2013-04-01,0.046052631578947366,0.013157894736842105,0.3064516129032258
