totalXX,fipCount,ZIPxx,CtyNAME,State,CtyFips
12,2,999xx,Wrangell City and Borough,AK,02275
12,8,999xx,Prince of Wales-Hyder Census Area,AK,02198
12,2,999xx,Ketchikan Gateway Borough,AK,02130
15,1,998xx,Skagway Municipality,AK,02230
15,1,998xx,Sitka City and Borough,AK,02220
15,3,998xx,Petersburg Census Area,AK,02195
15,3,998xx,Juneau City and Borough,AK,02110
15,6,998xx,Hoonah-Angoon Census Area,AK,02105
15,1,998xx,Haines Borough,AK,02100
79,24,997xx,Yukon-Koyukuk Census Area,AK,02290
79,7,997xx,Southeast Fairbanks Census Area,AK,02240
79,11,997xx,Northwest Arctic Borough,AK,02188
79,9,997xx,North Slope Borough,AK,02185
79,11,997xx,Nome Census Area,AK,02180
79,13,997xx,Fairbanks North Star Borough,AK,02090
79,4,997xx,Denali Borough,AK,02068
85,5,996xx,Yukon-Koyukuk Census Area,AK,02290
85,1,996xx,Yakutat City and Borough,AK,02282
85,8,996xx,Wade Hampton Census Area,AK,02270
85,3,996xx,Valdez-Cordova Census Area,AK,02261
85,3,996xx,Nome Census Area,AK,02180
85,11,996xx,Matanuska-Susitna Borough,AK,02170
85,7,996xx,Lake and Peninsula Borough,AK,02164
85,5,996xx,Kodiak Island Borough,AK,02150
85,12,996xx,Kenai Peninsula Borough,AK,02122
85,3,996xx,Dillingham Census Area,AK,02070
85,3,996xx,Bristol Bay Borough,AK,02060
85,18,996xx,Bethel Census Area,AK,02050
85,4,996xx,Aleutians West Census Area,AK,02016
85,2,996xx,Aleutians East Borough,AK,02013
69,2,995xx,Yukon-Koyukuk Census Area,AK,02290
69,4,995xx,Wade Hampton Census Area,AK,02270
69,5,995xx,Valdez-Cordova Census Area,AK,02261
69,5,995xx,Lake and Peninsula Borough,AK,02164
69,1,995xx,Kodiak Island Borough,AK,02150
69,3,995xx,Kenai Peninsula Borough,AK,02122
69,4,995xx,Dillingham Census Area,AK,02070
69,9,995xx,Bethel Census Area,AK,02050
69,30,995xx,Anchorage Municipality,AK,02020
69,3,995xx,Aleutians West Census Area,AK,02016
69,3,995xx,Aleutians East Borough,AK,02013
5,1,994xx,Whitman County,WA,53075
