defcount,addr_state,ERcount,Schcount,Curcount,DTI,income,shortcount,longcount,Period,ER_rate,Def_rate,termRatio
15,AZ,36,2,353,12.287081712062262,75486.04459143968,182,75,2010-01-01,0.08866995073891626,0.03694581280788178,0.41208791208791207
8,SC,19,1,182,12.605338345864668,60300.42466165414,93,40,2010-01-01,0.09047619047619047,0.0380952380952381,0.43010752688172044
3,LA,12,3,179,13.863664122137408,86128.76488549619,87,44,2010-01-01,0.06091370558375635,0.015228426395939087,0.5057471264367817
34,NJ,66,19,823,12.656628289473687,73944.8533388158,442,166,2010-01-01,0.07006369426751592,0.036093418259023353,0.3755656108597285
11,VA,50,7,651,13.192647058823537,69798.51737394958,355,121,2010-01-01,0.06954102920723226,0.015299026425591099,0.3408450704225352
5,KY,8,1,132,13.068999999999999,59157.93,77,23,2010-01-01,0.0547945205479452,0.03424657534246575,0.2987012987012987
1,NH,4,3,82,13.393454545454547,72044.02036363636,41,14,2010-01-01,0.044444444444444446,0.011111111111111112,0.34146341463414637
11,WI,22,11,210,13.13650602409639,61052.886204819275,117,49,2010-01-01,0.08661417322834646,0.04330708661417323,0.4188034188034188
138,CA,230,2,2975,12.83022779043282,72504.00213211846,1642,553,2010-01-01,0.0687593423019432,0.04125560538116592,0.33678440925700365
10,CT,22,8,346,12.085019305019307,70450.7986100386,196,63,2010-01-01,0.05699481865284974,0.025906735751295335,0.32142857142857145
3,NC,15,15,111,12.578202247191012,63756.370786516854,53,36,2010-01-01,0.10416666666666667,0.020833333333333332,0.6792452830188679
10,MD,30,3,476,13.124913294797688,78966.16352601157,239,107,2010-01-01,0.057803468208092484,0.019267822736030827,0.4476987447698745
11,MO,24,5,299,13.593433476394855,65127.58343347639,162,71,2010-01-01,0.07079646017699115,0.032448377581120944,0.4382716049382716
20,WA,42,2,317,12.876987447698747,70350.30543933055,172,67,2010-01-01,0.11023622047244094,0.05249343832020997,0.38953488372093026
8,AL,19,4,199,13.795095541401274,57909.565605095544,115,42,2010-01-01,0.08260869565217391,0.034782608695652174,0.3652173913043478
4,NM,7,3,95,12.617846153846154,124567.52184615385,44,21,2010-01-01,0.06422018348623854,0.03669724770642202,0.4772727272727273
49,NY,134,49,1681,12.039362903225788,72246.49649193547,943,297,2010-01-01,0.07004704652378463,0.02561421850496602,0.3149522799575822
44,TX,102,4,1203,13.77784580498865,75042.46293650795,669,213,2010-01-01,0.07538802660753881,0.032520325203252036,0.3183856502242152
25,GA,52,14,613,14.060657894736854,70774.54118421052,313,143,2010-01-01,0.07386363636363637,0.03551136363636364,0.45686900958466453
22,MA,61,29,621,12.778105263157896,69428.22597894736,349,126,2010-01-01,0.08321964529331514,0.030013642564802184,0.36103151862464183
5,KS,12,4,77,15.360357142857145,63733.857142857145,16,12,2010-01-01,0.12244897959183673,0.05102040816326531,0.75
19,CO,36,10,379,13.007380073800746,66147.24143911438,197,74,2010-01-01,0.08108108108108109,0.04279279279279279,0.3756345177664975
62,FL,105,31,1172,13.385598591549298,63172.82610328638,622,230,2010-01-01,0.07664233576642336,0.04525547445255475,0.36977491961414793
3,AR,10,1,97,14.101875000000001,71256.107,54,26,2010-01-01,0.09009009009009009,0.02702702702702703,0.48148148148148145
7,UT,10,5,105,12.936799999999996,69662.58133333334,50,25,2010-01-01,0.07874015748031496,0.05511811023622047,0.5
20,AZ,77,22,716,13.961801242236014,65634.52927536232,298,185,2011-01-01,0.09221556886227544,0.023952095808383235,0.6208053691275168
15,SC,35,9,387,14.48912878787879,64257.89575757576,159,105,2011-01-01,0.07847533632286996,0.033632286995515695,0.660377358490566
12,LA,38,8,373,15.150952380952377,69291.97476190477,167,85,2011-01-01,0.08816705336426914,0.027842227378190254,0.5089820359281437
26,MN,59,20,493,14.10896755162242,60472.946991150435,236,103,2011-01-01,0.09866220735785954,0.043478260869565216,0.4364406779661017
54,NJ,156,45,1561,13.278954773869344,77149.16716582915,629,366,2011-01-01,0.08590308370044053,0.02973568281938326,0.5818759936406995
3,DC,20,3,180,12.96589285714286,77228.27642857144,79,33,2011-01-01,0.0970873786407767,0.014563106796116505,0.4177215189873418
14,OR,43,10,365,14.273127572016469,59003.88065843622,162,81,2011-01-01,0.09953703703703703,0.032407407407407406,0.5
33,VA,163,40,1124,13.907478873239436,76987.88656338028,441,269,2011-01-01,0.11985294117647059,0.02426470588235294,0.6099773242630385
2,RI,17,11,162,12.760096153846147,72547.16153846154,72,32,2011-01-01,0.08854166666666667,0.010416666666666666,0.4444444444444444
13,KY,26,6,291,14.713999999999999,62816.07746341463,120,85,2011-01-01,0.07738095238095238,0.03869047619047619,0.7083333333333334
7,NH,15,4,146,14.676000000000002,71278.44,56,34,2011-01-01,0.0872093023255814,0.040697674418604654,0.6071428571428571
19,MI,71,20,606,13.993124999999996,70850.74184782608,219,149,2011-01-01,0.09916201117318436,0.02653631284916201,0.680365296803653
